Name,Location,Short Description,YC Batch,Company URL,Founders
Reshape Biotech,"Copenhagen, Denmark",Robots that automate the everyday tasks of microbiologists.,W21,http://reshapebiotech.com/,Carl-Emil Grøn Christensen (LinkedIn: ); Magnus Nyborg Madsen (LinkedIn: ); Daniel Storgaard (LinkedIn: )
PipeBio,"Aarhus, Denmark",PipeBio is a SaaS bioinformatics platform to develop antibody drugs.,W21,https://pipebio.com,Owen Bodley (LinkedIn: ); Jannick Bendtsen (LinkedIn: )
Kilobaser,"Graz, Styria, Austria",Desktop DNA Printer. The Nespresso Machine for DNA.,W21,https://www.kilobaser.com,Alexander Murer (LinkedIn: ); Martin Jost (LinkedIn: ); Bernhard Tittelbach (LinkedIn: )
My NextDerma,"Zapopan, Jal., Mexico",Dermatology telehealth app for LatAm,W21,https://mynextderma.com,Saul Armando Lepe Soltero (LinkedIn: ); Luis Alberto Guevara Mendoza (LinkedIn: ); Enrique Ibarra (LinkedIn: )
Triomics,"San Francisco, CA, USA",Intelligent automation in Oncology Research and Care,W21,https://triomics.com/,Sarim Khan (LinkedIn: ); Sajjan Rajpurohit (LinkedIn: ); Hrituraj Singh (LinkedIn: )
Nuntius Therapeutics,"London, England, United Kingdom",Cell-specific genetic medicines,W21,http://www.nuntiustx.com,Benita Nagel (LinkedIn: ); Albert Kwok (LinkedIn: )
Forcyte Biotechnologies,"Los Angeles, CA, USA","Discover drugs that control how much cells ""squeeze"" to treat disease",W21,https://forcytebio.com/,Ivan Pushkarsky (LinkedIn: ); Dino Di Carlo (LinkedIn: )
Recover,"San Diego, CA, USA",Government-funded online addiction treatment,W21,https://www.letsrecover.com,Nick Gulino (LinkedIn: )
Rejoy Health,"Palo Alto, CA, USA",AI tools and LLM for Healthcare,W21,https://www.rejoyhealth.com/,Rituraj Yadav (LinkedIn: ); Ritu Ranjna (LinkedIn: )
Zealth,"Bengaluru, KA, India",Software for remote monitoring of cancer patients,W21,https://zealth-ai.com/,Monika Mehta (LinkedIn: ); Dheeraj Mundhra (LinkedIn: )
